-86.5543356,34.8595653,Huntsville Medflight,EMS,
-86.0486355,34.6605555,Air Evac Lifeteam,EMS,
-87.6338495,34.6716152,Air Evac Lifeteam,EMS,
-86.8438998,34.9915901,Ardmore Volunteer Fire Department Incorporated,EMS,
-87.0508429,34.8585375,Owens Volunteer Fire Department Incorporated Station 1,EMS,
-87.0602622,34.4677834,Neel Volunteer Fire Department,EMS,
-87.5298623,34.7019123,Leighton Volunteer Fire Department,EMS,
-86.5734398,34.8613975,Meridianville Volunteer Fire Department And Emergency Medical Services,EMS,
-87.5221852,34.9721323,Greenhill Volunteer Fire Department Station 1,EMS,
-87.3941309,34.851581,Elgin Fire Department,EMS,
-88.1432665,34.4399347,Red Bay Volunteer Fire Department,EMS,
-87.5935276,34.8407289,Florence Fire Department Station 2,EMS,
-87.0895431,34.4143201,Danville Volunteer Fire Department Station 1,EMS,
-86.6214545,34.4707305,Brindlee Mountain Volunteer Fire Department Incorporated Station 2,EMS,
-86.6991797,34.4156509,Florette Volunteer Fire Department,EMS,
-85.9932214,34.6510328,Scottsboro Fire Department Station 3,EMS,
-86.0648036,34.6135357,Scottsboro Fire Department Station 2,EMS,
-87.2937625,34.824792,Rogersville Volunteer Fire Department,EMS,
-86.9972917,34.4760266,Oak Ridge Volunteer Fire Department Station 2,EMS,
-87.8402134,34.5625251,Frankfort Volunteer Fire Department,EMS,
-87.7980606,34.8407349,Oakland Fire Department,EMS,
-86.9797309,34.518056,Flint City Volunteer Fire Department,EMS,
-86.2724625,34.6265503,Woodville Volunteer Fire Department,EMS,
-87.5409844,34.8596905,Killen Volunteer Fire Department,EMS,
-87.6696401,34.9505236,Zip City Volunteer Fire Department,EMS,
-87.6931197,34.8712777,Underwood-Petersville Volunteer Fire Department,EMS,
-85.9612476,34.7177676,Hollywood Volunteer Fire Department,EMS,
-87.0775401,34.5531762,Mud Tavern Volunteer Fire Department Station 2,EMS,
-87.4141573,34.5647993,Hatton Volunteer Fire Department,EMS,
-87.671621,34.7979464,Florence Fire Department Station 1,EMS,
-88.0677353,34.5436476,Pleasant Site Fire Protection Authority,EMS,
-86.8328938,34.7851773,East Limestone Volunteer Fire Department,EMS,
-86.3294905,34.6659856,Paint Rock Volunteer Fire Department,EMS,
-87.006302,34.4694162,Oak Ridge Volunteer Fire Department Station 1,EMS,
-87.622035,34.8742429,Middle - Lauderdale Volunteer Fire Department,EMS,
-87.3682765,34.9749061,Lexington Fire Department,EMS,
-86.0350053,34.8561887,Crow Mountain Volunteer Fire Department,EMS,
-87.4531973,34.8504564,Center Star Fire District,EMS,
-88.0231765,34.4518038,Burntout-Halltown Volunteer Fire Department,EMS,
-86.5660446,34.4694001,Brindlee Mountain Volunteer Fire Department Incorporated Station 1,EMS,
-85.9884212,34.5806178,Section Volunteer Fire Department,EMS,
-87.7718088,34.9394269,Cloverdale Volunteer Fire Department Station 1,EMS,
-87.8666181,34.4797552,Belgreen Fire Protection District,EMS,
-86.0359865,34.6713486,Scottsboro Fire Department Station 1,EMS,
-86.1187606,34.8080416,Skyline Volunteer Fire Department,EMS,
-87.0859386,34.4726735,Punkin Center Volunteer Fire Department,EMS,
-86.2139514,34.7328042,Pleasant Grove Volunteer Fire Department,EMS,
-86.5355969,34.4198485,Brindlee Mountain Volunteer Fire Department Incorporated Station 3,EMS,
-86.555053,34.4618564,Brindlee Mountain Volunteer Fire Department Incorporated Station 4 - Substation,EMS,
