-86.55406526,34.91006816,Not Available,Trailer Park,
-86.55487428,34.59541287,Green Cove Mhp,Trailer Park,
-86.56695683,34.6172182,Maplecrest Mhp,Trailer Park,
-86.67066267,34.89999123,Not Available,Trailer Park,
-86.4731701,34.89846586,Not Available,Trailer Park,
-86.61551554,34.94061964,Not Available,Trailer Park,
-86.61150932,34.85907141,Not Available,Trailer Park,
-86.43517774,34.54001823,Not Available,Trailer Park,
-86.65574815,34.92334289,Not Available,Trailer Park,
-86.63977621,34.71300257,Not Available,Trailer Park,
-86.43138801,34.54607992,Not Available,Trailer Park,
-86.4805989,34.75734645,Not Available,Trailer Park,
-86.4917321,34.75921249,Not Available,Trailer Park,
-86.50136533,34.62350735,Not Available,Trailer Park,
-86.75276306,34.66212762,A & A Mobile Home Estates,Trailer Park,
-86.60451458,34.6909731,Bailey Homes,Trailer Park,
-86.61640482,34.78062866,Cedar Creek Mhp,Trailer Park,
-86.56499874,34.61603306,Gateway Mhp,Trailer Park,
-86.59780719,34.70924005,Glen Whitaker Trailer Court,Trailer Park,
-86.63640298,34.7129857,Huntsville Mobile Home Estates,Trailer Park,
-86.60981903,34.68597994,Triana Mobile Home Community,Trailer Park,
-86.73148218,34.7766493,Crestwood Estates Family Community,Trailer Park,
-86.71431425,34.75007663,Mountain View Trailer Court,Trailer Park,
-86.70618436,34.72721935,West Valley Mhp,Trailer Park,
-86.51869026,34.84034912,Not Available,Trailer Park,
-86.52001203,34.83587669,Not Available,Trailer Park,
-86.44079359,34.93424587,Not Available,Trailer Park,
-86.43897881,34.93531035,Not Available,Trailer Park,
-86.57209084,34.91318764,Not Available,Trailer Park,
-86.42877622,34.53300299,Not Available,Trailer Park,
-86.72440467,34.93320729,Not Available,Trailer Park,
-86.56751044,34.74663689,Not Available,Trailer Park,
-86.62446684,34.94397919,Not Available,Trailer Park,
-86.60692537,34.85031809,Not Available,Trailer Park,
-86.67889869,34.76890326,Not Available,Trailer Park,
-86.66794217,34.75836646,Not Available,Trailer Park,
-86.71717266,34.87310475,Not Available,Trailer Park,
